DATE,SP500,US2
2004-03-31,1110.25,96.7820313
2004-04-01,1118.75,96.6492188
2004-04-02,1127.25,96.1882813
2004-04-05,1133.5,96.1101563
2004-04-06,1130.0,96.1804688
2004-04-07,1127.5,96.1960938
2004-04-08,1124.75,96.1960938
2004-04-12,1129.25,96.1648438
2004-04-13,1113.5,95.9539063
2004-04-14,1115.0,95.7195313
2004-04-15,1110.25,95.7664063
2004-04-16,1119.25,95.9304688
2004-04-19,1119.0,95.8679688
2004-04-20,1099.75,95.7664063
2004-04-21,1107.75,95.5945313
2004-04-22,1122.0,95.7195313
2004-04-23,1124.75,95.4851563
2004-04-26,1123.25,95.5007813
2004-04-27,1123.25,95.6257813
2004-04-28,1108.75,95.4851563
2004-04-29,1099.25,95.3914063
2004-04-30,1091.25,95.4695313
2004-05-03,1101.25,95.4539063
2004-05-04,1100.75,95.4851563
2004-05-05,1107.25,95.4617188
2004-05-06,1098.25,95.3601563
2004-05-07,1080.75,94.8835938
2004-05-10,1068.75,94.9617188
2004-05-11,1077.5,94.9851563
2004-05-12,1084.0,94.9929688
2004-05-13,1079.0,94.8679688
2004-05-14,1080.0,95.0710938
2004-05-17,1070.75,95.2273438
2004-05-18,1075.5,95.1257813
2004-05-19,1072.0,95.0164063
2004-05-20,1075.75,95.1492188
2004-05-21,1077.75,95.0789063
2004-05-24,1081.75,95.1257813
2004-05-25,1097.75,95.1335938
2004-05-26,1101.25,95.2976563
2004-05-27,1108.0,95.4382813
2004-05-28,1105.5,95.2585938
2004-06-01,1106.5,95.1804688
2004-06-02,1110.75,95.0945313
2004-06-03,1100.25,95.1257813
2004-06-04,1108.5,94.9851563
2004-06-07,1125.5,95.0632813
2004-06-08,1127.25,95.0007813
2004-06-09,1116.75,94.8601563
2004-06-10,1121.75,94.8523438
2004-06-11,1121.75,
2004-06-14,1111.0,94.5945313
2004-06-15,1119.25,94.9773438
2004-06-16,1118.5,94.8679688
2004-06-17,1116.5,94.9382813
2004-06-18,1119.5,94.9460938
2004-06-21,1114.75,95.0242188
2004-06-22,1120.5,95.0242188
2004-06-23,1129.5,95.0710938
2004-06-24,1126.75,95.1492188
2004-06-25,1120.75,95.1570313
2004-06-28,1117.25,94.9382813
2004-06-29,1121.25,95.0085938
2004-06-30,1126.0,95.2585938
2004-07-01,1111.75,95.4226563
2004-07-02,1111.25,95.6101563
2004-07-06,1100.5,95.6023438
2004-07-07,1103.5,95.6257813
2004-07-08,1096.25,95.6648438
2004-07-09,1098.25,95.6882813
2004-07-12,1099.0,95.6960938
2004-07-13,1099.75,95.6257813
2004-07-14,1096.75,95.5710938
2004-07-15,1089.0,95.5476563
2004-07-16,1088.25,95.7585938
2004-07-19,1084.25,95.7273438
2004-07-20,1097.5,95.5164063
2004-07-21,1076.0,95.4226563
2004-07-22,1079.25,95.4617188
2004-07-23,1071.0,95.4929688
2004-07-26,1068.5,95.4148438
2004-07-27,1078.0,95.2664063
2004-07-28,1081.0,95.3445313
2004-07-29,1085.75,95.4148438
2004-07-30,1086.5,95.5476563
2004-08-02,1091.0,95.6101563
2004-08-03,1082.75,95.6335938
2004-08-04,1082.5,95.6335938
2004-08-05,1064.0,95.6648438
2004-08-06,1049.0,96.1804688
2004-08-09,1049.75,96.1023438
2004-08-10,1061.75,95.8992188
2004-08-11,1061.25,95.9617188
2004-08-12,1049.25,96.0007813
2004-08-13,1051.75,96.0945313
2004-08-16,1063.0,96.0554688
2004-08-17,1068.5,96.1570313
2004-08-18,1080.0,96.1570313
2004-08-19,1076.75,96.2195313
2004-08-20,1084.25,96.1414063
2004-08-23,1081.75,96.0632813
2004-08-24,1083.0,96.0789063
2004-08-25,1089.25,96.0945313
2004-08-26,1090.0,96.1335938
2004-08-27,1093.75,96.1335938
2004-08-30,1084.5,96.1960938
2004-08-31,1089.5,96.3210938
2004-09-01,1092.25,96.3757813
2004-09-02,1105.0,96.2742188
2004-09-03,1100.0,95.9695313
2004-09-07,1107.75,96.0242188
2004-09-08,1104.25,96.2351563
2004-09-09,1103.0,96.2039063
2004-09-10,1108.75,96.2039063
2004-09-13,1113.25,96.2117188
2004-09-14,1115.0,96.2820313
2004-09-15,1105.75,96.2117188
2004-09-16,1109.5,96.4070313
2004-09-17,1114.0,96.2039063
2004-09-20,1107.25,96.3757813
2004-09-21,1112.25,96.3210938
2004-09-22,1098.0,96.3132813
2004-09-23,1092.25,96.1570313
2004-09-24,1096.5,96.0710938
2004-09-27,1090.25,96.1570313
2004-09-28,1094.75,96.2039063
2004-09-29,1100.25,96.0554688
2004-09-30,1100.0,96.1023438
2004-10-01,1118.25,96.0789063
2004-10-04,1120.5,96.0476563
2004-10-05,1121.5,96.0632813
2004-10-06,1127.75,95.9695313
2004-10-07,1116.5,95.9617188
2004-10-08,1107.0,96.2039063
2004-10-11,1111.0,
2004-10-12,1107.5,96.2664063
2004-10-13,1097.25,96.3445313
2004-10-14,1088.0,96.4695313
2004-10-15,1093.25,96.3679688
2004-10-18,1098.0,96.3601563
2004-10-19,1088.5,96.3289063
2004-10-20,1086.75,96.3992188
2004-10-21,1092.75,96.3289063
2004-10-22,1081.0,96.3757813
2004-10-25,1080.25,96.3992188
2004-10-26,1096.5,96.3992188
2004-10-27,1109.75,96.2507813
2004-10-28,1112.5,96.3054688
2004-10-29,1115.25,96.3679688
2004-11-01,1115.75,96.2820313
2004-11-02,1115.5,96.3132813
2004-11-03,1130.0,96.3445313
2004-11-04,1145.5,96.2664063
2004-11-05,1152.75,95.9382813
2004-11-08,1151.5,95.9070313
2004-11-09,1149.25,95.9070313
2004-11-10,1149.75,95.8210938
2004-11-11,1158.75,
2004-11-12,1167.75,95.8601563
2004-11-15,1171.0,95.8054688
2004-11-16,1162.5,95.7585938
2004-11-17,1169.25,95.8601563
2004-11-18,1170.0,95.8289063
2004-11-19,1157.25,95.7195313
2004-11-22,1163.0,95.7039063
2004-11-23,1164.25,95.6570313
2004-11-24,1167.0,95.5945313
2004-11-26,1165.75,95.5632813
2004-11-29,1161.0,95.5320313
2004-11-30,1159.0,95.6257813
2004-12-01,1174.75,95.6414063
2004-12-02,1175.5,95.6023438
2004-12-03,1174.25,95.8289063
2004-12-06,1174.25,95.8679688
2004-12-07,1162.75,95.8289063
2004-12-08,1169.0,95.8992188
2004-12-09,1173.5,95.8914063
2004-12-10,1174.75,95.8679688
2004-12-13,1185.25,95.8054688
2004-12-14,1189.25,95.8054688
2004-12-15,1190.0,95.8445313
2004-12-16,1189.25,95.7585938
2004-12-17,1181.0,95.7273438
2004-12-20,1181.5,95.6648438
